,0
71,eyelashes growing went ex went meal waitress said false lashes look top set weight closing eyes
72,take forever put struggle get straight end up wonky eyelashes halfway through night start come loose n end up hanging off eyes like big hairy spiders crawling across face good look wen clubbing lol xx
73,difficult put one looks different good way xx
74,eyes good apply falsies more magnifying ca imagine look
75,take warn photo shoot scared seeing put courage try
76,applied way much glue took ages dry time got top bottom lash glue dripped got stuck
77,hard put would love try fab mascara loved like happy share wonderful page x
78,wear false lashes one time silly halloween ones lord look complete utter big over top no one cared looked halloween outfit
79,tried wearing false eyes lashes taken dinner new called waiter over complain spider soup one false went loo remove one hoping would contacted after night
80,wear glasses find flick against glass look like something eye good look
81,all fairness should all dont understand anyone can wear false mascara would god fingers crossed
82,feel like spiders legs eyelids applied falsies past lol
83,take apply
84,end up eyes feel like lashes scratching blessed amazing lashes going give go x
85,ca apply love nor money rely good mascara
86,wear false lashes seems takes longer get rest makeup first one perfect second ends up half way up off
87,tried younger like most youngsters thought bees knees took ages make sure both fitted over ononce all ready after short time would start come unstuck so spent most time ladies toilets trying yo keep after few times gave up decided go unlike sounds mascara sound ca wait try
88,falsies go favorite look no make ilike something natural looking everyday look falsies ott
89,hey look ott over top false
90,wear some branded mascara make feel comfortable wear looks like ai wearing mascara wear loads looks over love loreal mascara wear loreal maybelline mascara cant complain love try review x
91,take ages put end up smudging eyeshadow eyeliner taken ages apply would fab avoid love lashes
92,lucky blessed long eyelashes thought wearing false eyelashes appeal daughter long eyelashes ruined using false thrilled win try mascara use one
93,hate false lashes uncomfortable want rip off sometimes pain apply
94,went party agood few years picked up drink screamed thought spider drink yes one faulse eyelashes dropped needless say l like mascara would like win one mascara thankyou carol brown
95,no good putting false eye lashes keep falling get such state end up giving up looks good great try
96,pregnant lost alot eyelashes use lots mascara use false lashes can apply lol x
97,used apply semi permanent lashes glue would take forever look great start started coming taking lashes
98,went weekend rave camber sands called bangface some cool bright red black poker dots after good dancing went chalet top up drink looked mirror one eye lash placed cheek no idea didnt realise no one told friends lol
99,afraid take apply look like aunt dolls eyes most make eyes sore
100,used wear years many morning would wake up stuck son said u start growin hair forehead lol wore since
101,way many ott omg moments mascara could answer prayers
102,apply mascara seem get false eyelash look no matter many times apply would give opportunity false lash look xxx
103,can seem get right easy wear glasses ca see
104,comfy brilliant would over moon lucky winner
105,love long lashes busy mom time ca wait try
106,first time wore lashes group friends boy fancied well took go into toilet realise eyelash one one idiot must looked
107,rush get ready decided try false lashes first time rushed much felt uncomfortable all night incase came off
108,ca falsh eyelashes so would perfect looking new mascara
109,castigated cat mauling spider one came home realize minus lashes one eye like all day apologised cat trying bring dropped lash attention
110,can get falsies tried failed many times prize would perfect thanks chance
111,totaly ott made look like sick drag queen got lovely comment barr tender club pointed looked like rocky wore since
112,look home eye brow dye kit ended up looking like cross between jersey cow groucho marx
113,can get falsese stay fall off least expect last time getting bus lol need say looked little silly like tash
114,feel so blink more touch eyes end up hanging off look like tramp
115,forget wedding throughout feeling eyes covered umbrella uncomfortable try
116,much fuss would natural look without feeling like spider webs eyes
117,take apply wow awesome prize yes please would love win thank chance liked page shared post good luck everyone fingers crossed xxx
118,fine lashes must cancer patient mine fine need mascara pump up
119,one time felt heavy fluttery kept poking eye haha amazing mascara
120,love long eyelashes false ones seemed perfect one corner decided stick kept pinging off
121,applied false lashes seem able get look way over top
122,false lashes uncomfortable would love try new product same effect xx
123,wore date night thinking looked gorgeous one fell into glass could years love
124,ended up running through high st tears false eyelashes cheeks worn since
125,takes put reapply glue times trying new mascara much better outcome
126,comfy love lucky winner thanks fab competition
127,got individual false lashes came took bald patches lashes months
128,used falsies before think put looks like hairy spiders eyes
129,apply false lashes look artificial over something natural loookibgbis
130,false eyelashes nightmare come unstuck inopportune moment same time need constantly check hampered eyes
131,find uncomfortable wear glue ripped natural lashes mortified
132,ca false lashes hands stick mascara
133,want say difficult apply
134,take apply so good applying fake lashes x
135,look ott
136,looked like spider lashes
137,takes ages put find sprouting cheek hour
138,look ridiculous could leave house good laugh
139,comfy managed get all
140,love mascaras use brand
141,hate feeling take off red striped days after eeeek
142,forget wearing rub eyes good luck false lash mascara would perfect answer
143,can get stay without ton glue so looks stupid
144,sensitive eyes worn false using would solve all problems bottle
145,applied semipermament ones took ages loved efect started fall natural ones
146,feel weird feel like want pull
147,look much fake
148,bought after posted mazing
149,wow amazing beautiful
150,mascara worth using few weeks prefer cheaper maybelline falsies mascara make lashes look much different previous mascara used leaves black smudges underneath eyebrow need get friend check mascara brow bone during mascara take more time apply clumps andis black plus would recommend all
151,liked mascara vey great adding volume thickness increase length much would found brush little difficult use hard manoeuvre into inside wear contact lenses need mascara flake mascara flacky
152,wanted love product found mixed one great daytime work look product would expensive use second found part two bit tricky bit give good result after few attempts get small amount fallout think wear glasses lashes hitting lenses fallout didnt want attempt wearing contact lenses eyes irritated wear think practice may great product special occasions preserve using like idea two mascaras using falsies eyelash glue
153,love mascara looks
154,bad cruelty free
155,love videos so dislike nothing mascara seems chunky personal opinion
156,mascara makes easier get voluminous lashes without difficulty applying way get one
157,would love try looks amazing
158,love loreal voluminous think one new thanks
159,love mascara
160,used use one l oréal fiber mascaras all time felt like changed excited try looks beautiful ya
161,love voluminous good used primer makes big difference
162,checking mascara nice drug store option
163,loving mascara purchasing product
164,love estee little black primer drugstore version looks amazing
165,seen wondering thank
166,awesome good job loreal
167,excellent choice drugstore mascara looks great
168,makes great mascara
169,dont like drugstore mascara put bad stuff name brand mascara good stuff helps lashes grow
170,love effect mascara give natural lashes
171,love use waterproof cause lashes fall after curling regular ones
172,looks looks like old rimmel trick different brushes dipped into same think hold curl important thx
173,looks like falsies such luck fibers so use primer
174,yeah strengthening mascara like primer
175,sorry agree hunnies funny like one looks spidery lol course love go girl sorry irritated eyes ok
176,impressed bother eyes like lash paradise
177,oh bought mascara
178,omg paris euros promotion so grabbed andddd fecking stunning
179,hubby says new half meter long lashes ty
180,anwen know love everything love lash princess lashes look chaotic allergic waterproof
181,mascara looks beautiful
182,horrible eyes feel irriated sore prefer lash princess over one
183,think mascara eyes sensitive tried fiber mascaras eyes feels fibers go eye sucks ca see fibers so ca take eyes makes way love eyelashes look glamorous wish eyelashes super mini
184,mascara flakes into eyes after few hours wearing makes eyes itch
185,worst mascara put directions t look different cheap dollar store went movie came black over eyes wore off no wiping nothing came complete maybelline makes better mascara better threw right garbage
186,wow results others promise mediocre small fibers step tend fall irritate eyes throughout day
187,works good
188,love t makes lashes look great
189,like eyelashes thicker since mine great product easy heat lash curler before applying mascara shows lashes
190,decided try fiber mascara primer fiber part interesting used fiber mascara mascara coming off after hours rubbing off face like black made look like black eye shadow sprinkled face little mascara left eye think should used same recipe double extend beauty tubes lengthening step mascara
191,work described
192,impressed all
193,love mascara must mascara thin short makes difference lashes
194,fibers know call plus bleeds like regular mascara
195,worth
196,clumpy impossible separate don t waste money lot better options
197,one faves high quality product low price
198,mascara great several half price all fiber lash mascara same can choose dramatic like lashes many coats apply get clumpy after several love convenience tube
199,mascara great several half price all fiber lash mascara same can choose dramatic like lashes many coats apply get clumpy after several love convenience tube
200,gorgeous good allergies
201,mascara looks amazing dark thickens lengthens prettiest mascara after few hours wear eyes get irritated remove mascara gets downright given more one chance hoping mascara lot trouble allergies so may problem most allergies say try looks star allergies star
202,lashes short thin made lashes appear happy wont help length issue hard remove got non water proof ill keep using one find something
203,t buy sensitive eyes
204,loved first secs eyes started burning itching getting watery messed up makeup t touch skin brush mascara little ammonia smell irritated eyes sorry t buy wish could return used can t use
205,thin hard build no go fiber few dollars worth
206,dark daughter used brand few times felt got coverage another
207,mascara goes
208,used double products worst among effect similar regular drugstore brand colors eyelashes
209,excited try seen lot good reviews brissels wand small hard time applying used different wand hoping wand don t care formula liquidy made go trusted mascara fix hole t using sad
210,waterproof version makes eyelashes look like false look wispy longer lashes regular lot definition volume no clumping
211,best drugstore mascara
212,love got waterproof
213,no better basic work like younique means
214,work said description bad product
215,expecting like much yes putting mascara equivalent two layers regular give unclumped find two layers regular mascara extra product start wearing off face end waterproof mascara issues buying worth extra ten seconds takes apply morning coming mom shares bathroom four people every morning
216,happy flakes wear eye glasses reading glasses lashes flake
217,want use curler after applying mascara rip hard get water t get need oil based makeup remover
218,great mascara
219,loving mascara brand new apply avoid clumping first step product wet feel like common new eye lashes rub skin top eye happy say mascara smudge first step thickens separates second step adds little length kind gives finished look
220,worse mascaras expensive
221,product charged something better mascara provide measurable difference lash volume expensive mascaras harder product container dried though buy recommend
222,bought waterproof mascara thick dry
223,hard get off makeup remover soap coconut oil plan wearing two days
224,clumps hard apply disappointed
225,omg awesome feet eye lashes kidding love
226,mascara great except one thing wipe off underneath eyes don t apply heavy otherwise says
227,loved new lóreal mascara easy apply no clumps stays all day mascara everyday wearing knowing lashes look fierce all day morning time used new mascara more loved lashes against eye makeup gave great length volume perfect finish product one new favorites make up bag
228,like idea great theory go apply coat lashes lashes dried coat therefore hard apply another formula became claggy after weeks use large clumps mascara appeared coat lengthen lashes feel issues lie coat wont purchasing mascara
229,hoping like waa impressed primer thickened lashes promised careful appear applied second coat found add oomph diffixult apply top feel regular mascara better job takes less time apply
230,used telescopic mascaras decades so interested test false lash liked primer consistency fact black found wand step little long eye shape liked curved wand step number end formula dry giving bit clumpy effect took time separate done mascara give nice effect lacked length curl would expect false lash look branded found wand bulky side keen whilst happy keep using mascara price point feel better mascaras including telescopic so unlikely purchase replacement
231,liked two step process so could build up layers primer liked primer end could worn mascara ok although find bit clumpy applied more two found applying one coat primer one mascara gave best look
232,eyelids mascara smudge like brushes make eyelashes pop smudge
233,purchased impulse used products since lashes thick short stopped using careprost taking care okay review get like fact hate two different products time effort get much better results almay mascara smudge like one come realize all mascaras loathe dry want wet mascara allows work primer goes applying mascara horrible work get dry brush through mediocre results worth price effort no buy another mascara
234,new hg mascara fan original voluminous mascara since came think market mascara whether drug store high know tried all like all keep coming voluminous watched tati video used intrigued black primer lashes looked amazing luck would ended up pink eye trash brand new tube lash paradise another amazing mascara btw after week no mascara crusty eyes went hunt let tell popular sold stores went looking found snatched up last one yes
235,mascara primer lifts separates adds definition like little mini serum know way can decribe way looks second coat makes everything lashes take minute longer lashes realize easy get dots mascara eyes near brow bone yeah crazy let dry flake off
236,short straight lashes so hard find mascaras wands tried fibre mascaras loved loreal mascaras gave go work liked thicker drier formula got clumpy dried straight no way could unclump run wand through wand bristles reach base lashes found shape booth wands all sorts wrong short give some length panda eyes end day keep fixing packaging sorry one miss
237,absolute want long false lash look think mascara would give want got effort off applying false mascara can give full volumised look
238,wanted love product some favourite mascaras loved innovative first step all step mascaras weird white colour one found first step add volume second coat gave some volume add much length price lot better mascaras wo purchasing
